;IG_80;IG_160;IG_320;IG_400;CLS_80;CLS_160;CLS_320;CLS_400;DT_80;DT_160;DT_320;DT_400;nombre_not_nan;yes or no
gyr_x_aad;;;;;;;;;;;;;0;
acc_y_first_peak_value;;;;;;;;;;;;;0;
acc_z_skew;;;;;;;;;;;;;0;
acc_y_skew;;;;;;;;;;0.031215230716354153;;;1;
acc_y_kurt;;;;;;;;;;;;;0;
mag_x_second_peak_value;;;;;;;;;;;;;0;
mag_y_second_peak_value;;;;;;;;;;;;;0;
gyr_z_mean;;;;;;;;;;;;;0;
gyr_y_second_peak_value;;;;;0.3213058051754402;;;;;;;;1;
mag_z_second_peak_value;;;;;;;;;;;;;0;
acc_z_kurt;;;;;;;;;;;;;0;
baro_kurt;;;;;;;;;0.021229530581623704;0.03661240099852584;0.06911160742613252;0.046686504108991334;4;
gyr_z_skew;;;;;;;;;;;;;0;
gyr_x_second_peak_value;;;;;0.3177197381424567;;;;;;;;1;
baro_first_peak_value;;;;;0.32861644164402937;;;;;;;;1;
gyr_x_skew;;;;;;;;;;;;;0;
acc_x_first_peak_value;;;;;;;;;;;;;0;
gyr_z_second_peak_value;;;;;0.3142587938354581;;;;;;;;1;
mag_y_first_peak_value;;;;;;;;;;;;;0;
mag_z_first_peak_value;;;;;;;;;;;;;0;
gyr_z_kurt;;;;;;;;;;;;;0;
gyr_y_kurt;;;;;;;;;;;;;0;
acc_x_skew;;;;;;;;;;;;;0;
baro_skew;;;;;;;;;;;;;0;
acc_x_kurt;;;;;;;;;;;;;0;
gyr_y_skew;;;;;;;;;;;;;0;
mag_x_first_peak_value;;;;;;;;;;;;;0;
gyr_x_kurt;;;;;;;;;;;;;0;
gyr_x_first_peak_value;;;;;;;;;;;;;0;
acc_z_first_peak_value;;;;;;;;;;;;;0;
mag_x_kurt;;;;;;;;;;;;0.03131061944283732;1;
mag_y_kurt;;;;;;;;;;;;;0;
gyr_y_first_peak_value;;;;;;;;;;;;;0;
mag_z_kurt;;;;;;;;;;;;;0;
gyr_z_first_peak_value;;;;;;;;;;;;;0;
mag_x_skew;;;;;;;;;;;;;0;
mag_z_skew;;;;;;;;;;;;;0;
mag_y_skew;;;;;;;;;;;;;0;
